target,person_id,index,age
longevity,LA:22666,0.91,1.0247281169619051
longevity,LA:12503,-0.19,21.319267716349362
longevity,LA:7329,-0.24999999999999997,6.225676041208923
longevity,LA:10333,-0.22999999999999998,51.37377792379981
longevity,LA:26415,-0.38999999999999996,23.90329509643343
longevity,LA:105886,0.6399999999999999,49.549843470307295
longevity,LA:9418,-0.06,16.60893130616686
longevity,LA:16575,-0.88,17.349656456048162
longevity,LA:26289,0.03,62.88462776759925
longevity,LA:27741,0.52,26.723876120862197
longevity,LA:7488,0.79,10.148471373281184
longevity,LA:20720,0.15999999999999998,4.788919664992099
longevity,LA:123376,0.9,6.6621644574550185
longevity,LA:110469,0.4,30.42493698377514
longevity,LA:108168,0.009999999999999995,60.92961563588309
longevity,LA:23188,0.49,34.6801915470163
longevity,LA:12724,0.53,57.223444646998836
longevity,LA:27086,0.5,36.87565326334456
longevity,LA:26027,0.41,66.42033856755192
longevity,LA:14509,0.31,29.32178583026601
longevity,LA:15586,0.07,48.356625189910375
longevity,LA:28164,0.16,30.047145237600525
longevity,LA:7802,-0.25,7.72642706431272
longevity,LA:120654,0.8200000000000001,49.14429124840693
longevity,LA:26970,0.31,71.80721205267263
longevity,LA:23154,-0.11000000000000004,33.751034003537974
longevity,LA:20090,1.2,24.838768205496674
longevity,LA:117211,-0.39,39.30067694750707
longevity,LA:15387,-0.39,39.30067694750707
longevity,LA:23754,0.0,5.159439225943476
longevity,LA:26404,0.19,31.260868159890858
longevity,LA:120838,0.89,32.15228758468137
longevity,LA:21496,-0.02999999999999997,12.399304596971149
longevity,LA:29348,-0.10999999999999999,25.87129961093856
longevity,LA:109522,0.9099999999999999,32.8585767091832
longevity,LA:6410,-0.08000000000000002,36.25922161303776
longevity,LA:14637,-0.44,14.29821536630039
longevity,LA:97777,0.30000000000000004,20.828304964307602
longevity,LA:25062,0.26999999999999996,4.283212523186344
longevity,LA:8732,-0.26,28.067574460296466
longevity,LA:15150,0.16,66.34381064432304
longevity,LA:27160,0.5800000000000001,33.38608278771618
longevity,LA:24917,0.58,63.11191613182399
longevity,LA:13256,-0.8300000000000001,58.33568463773021
longevity,LA:13432,-0.62,48.070737249908845
longevity,LA:108152,-0.43999999999999995,28.97701058074348
longevity,LA:13462,0.29000000000000004,6.5228172860297065
longevity,LA:11347,-0.16999999999999998,67.52848057061992
longevity,LA:11358,-0.6000000000000001,4.506660846078649
longevity,LA:13257,-0.54,33.672547336003454
longevity,LA:15171,-0.85,1.6015542945973635
longevity,LA:9049,0.24,39.12374160850463
longevity,LA:22713,-0.19,19.28710795643336
longevity,LA:108620,-0.6399999999999999,83.6033752562663
longevity,LA:120725,0.49000000000000005,20.659020427575104
longevity,LA:5477,0.30000000000000004,6.522703460081314
longevity,LA:14982,0.6699999999999999,6.775804076388933
longevity,LA:17402,0.79,63.58086966066932
longevity,LA:7866,-0.51,60.883665063723356
longevity,LA:12633,0.34,44.74745228880179
longevity,LA:28983,0.15,54.143165664415704
longevity,LA:114249,0.13,42.49261969280198
longevity,LA:24575,0.09,55.85217989367266
longevity,LA:107294,0.73,17.344517556701543
longevity,LA:107614,1.03,58.04145406692001
longevity,LA:123869,-0.51,21.194586219860163
longevity,LA:17409,-0.36,30.971071604126436
longevity,LA:13509,0.51,51.99583407168096
longevity,LA:13565,0.19,63.24024652317521
longevity,LA:102488,-0.1,27.41305041120564
longevity,LA:8714,0.31,47.449226528595595
longevity,LA:28449,0.22999999999999998,23.593838467035447
longevity,LA:23476,-0.4600000000000001,46.60487692220676
longevity,LA:100013,0.77,41.434921217993434
longevity,LA:120742,-0.06,74.32837493304106
longevity,LA:9434,0.33999999999999997,51.10190160317108
longevity,LA:10645,0.18,58.45749044457761
longevity,LA:8537,0.32,28.888462104958787
longevity,LA:20071,0.29,26.69736519547323
longevity,LA:14514,-0.83,66.72381806709373
longevity,LA:122070,-0.13,26.059150706316462
longevity,LA:20583,-0.45,21.818931562212295
longevity,LA:8821,-0.09999999999999998,59.58816998549216
longevity,LA:27668,0.3,33.73749530689741
longevity,LA:19902,-0.4,16.069058887563607
longevity,LA:19884,0.6399999999999999,20.26230606808894
longevity,LA:11164,0.61,0.017066920785555696
longevity,LA:18833,0.09,72.15840427174278
longevity,LA:29161,-0.64,72.82346140400418
longevity,LA:12945,-0.039999999999999925,25.471749869886636
longevity,LA:121017,0.31,41.428110040538904
longevity,LA:6796,0.21999999999999997,32.04417917167678
longevity,LA:10983,-0.5,60.94965787570321
longevity,LA:107711,1.18,35.7469320864703
longevity,LA:12714,-0.09,28.322090929441174
longevity,LA:20562,0.45999999999999996,26.422373111318958
longevity,LA:7461,0.16999999999999998,20.152183138599288
longevity,LA:121331,-0.24,32.88820846829514
longevity,LA:11177,0.51,10.203818543692398
longevity,LA:118780,-0.24,32.88820846829514
longevity,LA:12402,0.5900000000000001,25.87700548519441
longevity,LA:100176,0.53,20.508880578833896
longevity,LA:19007,-0.43,48.217443306944865
longevity,LA:13324,0.37,28.54607352446473
longevity,LA:21640,-0.64,39.96412771423611
longevity,LA:10909,0.38999999999999996,8.989821830701112
longevity,LA:18010,0.49,28.497990300203536
longevity,LA:13087,-0.27999999999999997,50.065615335726655
longevity,LA:17737,0.4,7.912352244918502
longevity,LA:121071,-0.22,5.003099665645468
longevity,LA:9054,-0.03,44.386966142990616
longevity,LA:15675,1.0,33.50044516339814
longevity,LA:10011,1.23,24.050105092532778
longevity,LA:7512,-1.65,28.59214033091667
longevity,LA:11768,0.16,42.430645266373936
