name,date_of_birth,time_of_birth,latitude,longitude,tz_offset,rodden_rating,categories,source_url
Aimé Clariond,1894-05-10,11:00:00,45.187000,0.722000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AiméClariond1894
Aimé Césaire,1913-06-26,20:00:00,14.869000,-61.114000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AiméCésaire1913
Aimé Escudié,1927-05-28,23:00:00,43.342000,3.218000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AiméEscudié1927
Aimé Maillart,1817-03-24,15:00:00,43.608000,3.880000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AiméMaillart1817
Aimé Raffaeli,1905-02-05,07:00:00,43.295000,5.374000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AiméRaffaeli1905
Aine Rosny,1856-02-17,21:00:00,50.846000,4.356000,0.3000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AineRosny1856
Aissa Wayne Gionis,1956-03-31,14:08:00,34.182000,-118.307000,-8.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AissaWayneGionis1956
Al Aber,1927-07-31,21:00:00,41.505000,-81.691000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlAber1927
Al Bano,1943-05-20,18:00:00,40.473000,17.967000,2.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlBano1943
Al Berto,1948-01-11,13:30:00,40.211000,-8.429000,0.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlBerto1948
Al Blanchard,1945-05-13,21:20:00,42.376000,-71.239000,-4.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlBlanchard1945
Al Blozis,1919-01-05,19:00:00,40.882000,-74.109000,-5.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlBlozis1919
Al Checchi,1948-06-06,22:04:00,42.389000,-71.097000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlChecchi1948
Al Di Meola,1954-07-22,03:45:00,40.718000,-74.044000,-4.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlDiMeola1954
Al Fairweather,1927-06-12,11:30:00,55.950000,-3.188000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlFairweather1927
Al Fann,1925-02-21,12:15:00,41.520000,-81.556000,-5.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlFann1925
Al Geiberger,1937-09-01,04:16:00,40.177000,-122.234000,-8.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlGeiberger1937
Al Gore,1948-03-31,12:53:00,38.892000,-77.020000,-5.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlGore1948
Al Jardine,1942-09-03,10:14:00,40.743000,-84.105000,-4.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlJardine1942
