rank,feature,mean_abs_shap
233,t_d10_moon_sign,0.011573
234,lat_saturn,0.011560
235,t_aspect_orb_rahu_moon,0.011534
236,t_dist_sun_saturn,0.011530
237,t_aspect_orb_rahu_mercury,0.011508
238,t_d7_venus_sign,0.011392
239,dist_jupiter_rahu,0.011388
240,t_acc_venus,0.011316
241,vel_saturn,0.011209
242,d12_jupiter_deg,0.011166
243,lat_mercury,0.011146
244,t_acc_mercury,0.011108
245,d4_jupiter_sign,0.011063
246,lon_saturn,0.011042
247,aspect_orb_mars_moon,0.010990
248,first_sun_antardasha_after_16,0.010961
249,d9_saturn_deg,0.010877
250,t_dist_mars_jupiter,0.010873
251,t_aspect_orb_rahu_saturn,0.010871
252,t_tattva_venus,0.010843
253,aspect_orb_jupiter_sun,0.010828
254,t_aspect_orb_ketu_saturn,0.010818
255,t_tattva_mars,0.010813
256,t_aspect_orb_sun_moon,0.010803
257,aspect_orb_mars_rahu,0.010765
258,t_dist_moon_mars,0.010728
259,d30_mercury_sign,0.010605
260,aspect_orb_saturn_venus,0.010416
261,dist_mars_venus,0.010264
262,aspect_orb_ketu_sun,0.010249
263,dist_mercury_rahu,0.010239
264,t_tattva_mercury,0.010219
265,t_lagna_lon,0.010200
266,t_house_from_moon_jupiter,0.010178
267,t_d10_rahu_deg,0.010168
268,d30_rahu_sign,0.010058
269,dist_moon_saturn,0.010027
270,t_house_from_moon_mars,0.010027
271,dist_jupiter_saturn,0.009965
272,d4_rahu_sign,0.009893
273,t_d9_moon_sign,0.009869
274,dist_jupiter_venus,0.009825
275,dist_mars_rahu,0.009811
276,dist_mercury_jupiter,0.009784
277,dist_saturn_rahu,0.009751
278,t_dec_jupiter,0.009739
279,dist_moon_rahu,0.009664
280,house_moon,0.009622
281,lat_jupiter,0.009597
282,aspect_orb_ketu_saturn,0.009589
283,acc_venus,0.009553
284,t_d9_sun_sign,0.009541
285,t_aspect_orb_mercury_jupiter,0.009505
286,aspect_orb_mercury_rahu,0.009500
287,aspect_orb_moon_saturn,0.009483
288,t_d24_rahu_sign,0.009459
289,natal_dasha_remaining_years,0.009453
290,t_aspect_orb_jupiter_mercury,0.009422
291,t_aspect_orb_saturn_mars,0.009372
292,t_d30_saturn_sign,0.009351
293,aspect_orb_moon_mercury,0.009349
294,acc_moon,0.009281
295,house_venus,0.009118
296,d4_venus_sign,0.009117
297,t_aspect_orb_mars_ketu,0.009108
298,lon_ketu,0.009035
299,t_aspect_orb_ketu_venus,0.009033
300,dist_sun_mercury,0.009027
301,t_dist_mars_mercury,0.008984
302,aspect_orb_mars_jupiter,0.008960
303,t_lagna_degree_in_sign,0.008913
304,dist_venus_rahu,0.008791
305,t_aspect_orb_jupiter_venus,0.008780
306,tattva_moon,0.008779
307,aspect_orb_sun_saturn,0.008778
308,dist_sun_mars,0.008769
309,dist_mars_saturn,0.008741
310,house_pos_sun,0.008643
311,tattva_sun,0.008617
312,aspect_orb_sun_moon,0.008600
313,d9_rahu_deg,0.008559
314,d30_venus_sign,0.008538
315,t_d3_jupiter_sign,0.008527
316,nak_pos_venus,0.008519
317,d9_sun_deg,0.008510
318,dispositor_mercury,0.008450
319,dasha_start_age_venus,0.008439
320,t_dist_sun_venus,0.008329
321,dec_mars,0.008327
322,dist_moon_mars,0.008277
323,t_d10_mars_sign,0.008251
324,aspect_orb_mars_sun,0.008221
325,house_from_moon_saturn,0.008156
326,aspect_orb_sun_mars,0.008135
327,t_dist_moon_rahu,0.008129
328,t_lon_venus,0.008114
329,t_drishti_jupiter_sun,0.008081
330,acc_mars,0.008074
331,t_tattva_ketu,0.008054
332,d24_moon_sign,0.008050
333,t_house_ketu,0.007990
334,aspect_orb_saturn_moon,0.007977
335,aspect_orb_saturn_jupiter,0.007951
336,t_acc_moon,0.007938
337,t_drishti_venus_ketu,0.007933
338,t_dist_sun_mars,0.007885
339,d24_saturn_sign,0.007863
340,t_tattva_moon,0.007851
341,aspect_orb_ketu_mercury,0.007842
342,aspect_orb_mercury_mars,0.007807
343,dist_moon_jupiter,0.007732
344,t_d24_moon_sign,0.007710
345,dasha_start_age_mercury,0.007692
346,lat_moon,0.007655
347,cross_lon_sun,0.007631
348,d7_mars_sign,0.007588
349,aspect_orb_mars_venus,0.007553
350,d10_mars_deg,0.007435
351,t_aspect_orb_sun_saturn,0.007365
352,lat_sun,0.007353
353,t_final_dispositor,0.007353
354,t_dist_sun_jupiter,0.007280
355,t_aspect_orb_saturn_sun,0.007260
356,t_lat_sun,0.007220
357,t_yoga_angle,0.007146
358,drishti_jupiter_moon,0.007091
359,t_aspect_orb_sun_jupiter,0.007073
360,d7_venus_sign,0.007069
361,aspect_orb_saturn_rahu,0.007065
362,dasha_start_age_jupiter,0.007057
363,first_moon_antardasha_after_16,0.007003
364,d9_sun_sign,0.006994
365,t_dec_moon,0.006940
366,d12_moon_deg,0.006920
367,t_d3_ketu_sign,0.006890
368,vel_jupiter,0.006885
369,t_lat_venus,0.006884
370,aspect_orb_mercury_jupiter,0.006856
371,jerk_saturn,0.006856
372,aspect_orb_ketu_mars,0.006836
373,nak_pos_sun,0.006833
374,t_dist_sun_moon,0.006814
375,t_d24_sun_sign,0.006807
376,dist_saturn_ketu,0.006728
377,d10_moon_deg,0.006724
378,sav_house_11,0.006617
379,t_house_pos_jupiter,0.006552
380,aspect_orb_rahu_sun,0.006499
381,dec_venus,0.006439
382,vel_mercury,0.006432
383,aspect_orb_rahu_venus,0.006431
384,d24_venus_sign,0.006402
385,dispositor_ketu,0.006385
386,t_aspect_orb_moon_mercury,0.006345
