rank,feature,mean_abs_shap
359,aspect_orb_jupiter_ketu,0.006741
360,t_d7_mars_sign,0.006738
361,dist_mars_venus,0.006722
362,dasha_start_age_mercury,0.006686
363,dist_sun_moon,0.006671
364,lat_venus,0.006664
365,lon_ketu,0.006637
366,aspect_orb_mars_jupiter,0.006623
367,t_aspect_orb_mars_jupiter,0.006601
368,t_dec_venus,0.006592
369,d12_rahu_deg,0.006583
370,nak_pos_saturn,0.006547
371,t_house_rahu,0.006523
372,t_house_from_sun_ketu,0.006519
373,tattva_saturn,0.006499
374,d12_sun_deg,0.006481
375,t_dist_mars_venus,0.006476
376,t_sav_house_9,0.006473
377,final_dispositor,0.006389
378,t_dist_jupiter_rahu,0.006386
379,t_d24_jupiter_sign,0.006370
380,tattva_mercury,0.006331
381,sav_house_8,0.006257
382,t_d7_mercury_sign,0.006236
383,sav_house_11,0.006211
384,t_house_from_sun_rahu,0.006188
385,t_house_from_sun_saturn,0.006188
386,t_d3_moon_sign,0.006157
387,dec_sun,0.006142
388,t_d30_mercury_sign,0.006129
389,t_d9_mercury_sign,0.006119
390,aspect_orb_moon_jupiter,0.006112
391,t_house_moon,0.006074
392,d12_ketu_sign,0.006048
393,first_saturn_antardasha_after_16,0.006046
394,acc_jupiter,0.005993
395,t_aspect_orb_sun_jupiter,0.005963
396,disp_depth_saturn,0.005962
397,disp_depth_mercury,0.005958
398,t_d24_mercury_sign,0.005956
399,sav_house_12,0.005921
400,t_tattva_ketu,0.005919
401,d24_mars_sign,0.005895
402,t_d7_saturn_sign,0.005827
403,dist_moon_venus,0.005811
404,lon_rahu,0.005809
405,t_house_from_sun_mars,0.005784
406,aspect_orb_venus_rahu,0.005767
407,dist_venus_rahu,0.005763
408,d7_rahu_sign,0.005744
409,lon_jupiter,0.005736
410,t_d30_jupiter_sign,0.005722
411,aspect_orb_sun_rahu,0.005719
412,house_pos_moon,0.005697
413,aspect_orb_ketu_venus,0.005675
414,d3_rahu_sign,0.005627
415,tattva_mars,0.005618
416,d24_mercury_sign,0.005538
417,house_jupiter,0.005534
418,t_aspect_orb_venus_rahu,0.005526
419,dasha_start_age_sun,0.005508
420,panchanga_yoga,0.005500
421,t_lon_moon,0.005489
422,t_dist_moon_rahu,0.005475
423,d10_jupiter_sign,0.005469
424,t_aspect_orb_ketu_mercury,0.005448
425,t_d9_mars_deg,0.005448
426,t_acc_moon,0.005434
427,t_sav_house_7,0.005353
428,t_jerk_saturn,0.005342
429,d7_mercury_sign,0.005340
430,d3_ketu_sign,0.005323
431,t_aspect_orb_saturn_jupiter,0.005295
432,dispositor_ketu,0.005287
433,dist_sun_mercury,0.005281
434,t_vel_mars,0.005243
435,d9_moon_sign,0.005235
436,t_aspect_orb_ketu_mars,0.005209
437,t_house_ketu,0.005183
438,t_dist_jupiter_ketu,0.005178
439,t_dispositor_ketu,0.005130
440,lon_moon,0.005110
441,d9_sun_deg,0.005054
442,t_d9_moon_sign,0.004984
443,aspect_orb_mars_rahu,0.004926
444,d7_mars_sign,0.004916
445,d9_rahu_sign,0.004895
446,d3_venus_sign,0.004892
447,sav_house_4,0.004879
448,d30_rahu_sign,0.004873
449,dist_moon_rahu,0.004872
450,house_from_moon_mars,0.004859
451,aspect_orb_rahu_mercury,0.004839
452,t_d4_saturn_sign,0.004794
453,t_dist_moon_saturn,0.004769
454,dist_mars_ketu,0.004758
455,t_lon_saturn,0.004741
456,d12_rahu_sign,0.004700
457,t_aspect_orb_ketu_venus,0.004667
458,t_aspect_orb_mars_saturn,0.004578
459,t_tattva_sun,0.004539
460,d10_venus_sign,0.004534
461,d30_mars_sign,0.004523
462,aspect_orb_jupiter_saturn,0.004495
463,t_acc_venus,0.004471
464,lat_jupiter,0.004464
465,d7_saturn_sign,0.004455
466,t_aspect_orb_jupiter_moon,0.004452
467,aspect_orb_moon_venus,0.004449
