rank,feature,mean_abs_shap
298,first_saturn_antardasha_after_16,0.007697
299,t_dist_sun_ketu,0.007688
300,vel_sun,0.007670
301,t_disp_depth_ketu,0.007658
302,nak_pos_mars,0.007646
303,dist_moon_mars,0.007554
304,dist_mars_saturn,0.007531
305,t_d4_mars_sign,0.007515
306,d9_saturn_deg,0.007491
307,t_dist_sun_rahu,0.007475
308,t_d9_rahu_sign,0.007464
309,tattva_mercury,0.007458
310,t_dec_mars,0.007456
311,t_drishti_saturn_sun,0.007360
312,aspect_orb_mars_ketu,0.007323
313,t_dist_mars_jupiter,0.007293
314,t_dispositor_mercury,0.007257
315,t_acc_mars,0.007250
316,aspect_orb_rahu_moon,0.007216
317,t_aspect_orb_rahu_saturn,0.007185
318,t_acc_saturn,0.007146
319,dec_mercury,0.007080
320,t_aspect_orb_jupiter_mars,0.007055
321,t_dist_sun_mars,0.007033
322,aspect_orb_rahu_saturn,0.007031
323,aspect_orb_saturn_rahu,0.007026
324,t_sav_house_12,0.007018
325,t_dist_moon_jupiter,0.006915
326,dist_moon_saturn,0.006752
327,d12_mars_deg,0.006701
328,dist_mercury_jupiter,0.006692
329,lon_mars,0.006676
330,vel_moon,0.006675
331,first_jupiter_antardasha_after_16,0.006657
332,t_d30_rahu_sign,0.006653
333,dec_jupiter,0.006653
334,t_aspect_orb_moon_rahu,0.006625
335,house_from_moon_mars,0.006616
336,d10_moon_deg,0.006615
337,t_d7_sun_sign,0.006565
338,lon_jupiter,0.006520
339,transit_bav_sun,0.006501
340,t_panchanga_yoga,0.006480
341,dispositor_mars,0.006464
342,t_sav_house_8,0.006460
343,t_d10_venus_sign,0.006458
344,t_aspect_orb_venus_saturn,0.006446
345,house_from_sun_mars,0.006441
346,dist_venus_rahu,0.006439
347,tattva_sun,0.006423
348,t_d12_venus_sign,0.006413
349,tattva_saturn,0.006392
350,lon_ketu,0.006385
351,dist_sun_jupiter,0.006340
352,t_dispositor_rahu,0.006337
353,t_dist_sun_mercury,0.006249
354,house_from_sun_saturn,0.006248
355,t_dist_mars_ketu,0.006223
356,acc_mercury,0.006209
357,t_aspect_orb_venus_jupiter,0.006196
358,t_d3_mars_sign,0.006183
359,aspect_orb_mercury_rahu,0.006172
360,dec_mars,0.006168
361,dasha_start_age_saturn,0.006149
362,d9_mars_sign,0.006113
363,aspect_orb_mercury_mars,0.006105
364,t_d4_venus_sign,0.006102
365,t_house_from_moon_rahu,0.006097
366,dasha_start_age_mars,0.006079
367,dist_jupiter_venus,0.006071
368,aspect_orb_saturn_mars,0.006051
369,t_vel_venus,0.006035
370,t_lagna_lon,0.006024
371,jerk_rahu,0.006011
372,t_d12_rahu_sign,0.005972
373,dist_sun_mercury,0.005960
374,t_aspect_orb_sun_mars,0.005881
375,tattva_venus,0.005869
376,dec_rahu,0.005858
377,house_pos_mercury,0.005853
378,aspect_orb_ketu_sun,0.005821
379,vel_saturn,0.005794
380,t_aspect_orb_ketu_sun,0.005794
381,dist_saturn_rahu,0.005732
382,t_tattva_mercury,0.005726
383,d3_rahu_sign,0.005718
384,aspect_orb_sun_saturn,0.005697
385,aspect_orb_venus_mars,0.005679
386,d9_moon_deg,0.005641
387,d24_jupiter_sign,0.005624
388,t_lat_saturn,0.005577
389,d9_mars_deg,0.005574
390,t_d4_saturn_sign,0.005532
391,t_dec_moon,0.005523
392,d30_rahu_sign,0.005468
393,d7_saturn_sign,0.005440
394,t_d7_jupiter_sign,0.005412
395,t_house_from_moon_ketu,0.005391
396,t_lon_venus,0.005388
397,dispositor_mercury,0.005317
398,aspect_orb_mercury_jupiter,0.005311
399,lon_venus,0.005254
400,d7_moon_sign,0.005203
401,first_mercury_antardasha_after_16,0.005140
402,aspect_orb_moon_saturn,0.005119
403,sav_house_11,0.005110
404,aspect_orb_jupiter_moon,0.005072
405,dist_moon_rahu,0.005038
406,t_lon_ketu,0.005035
407,dist_sun_venus,0.005030
408,d30_jupiter_sign,0.004985
409,d10_saturn_deg,0.004937
410,sav_house_4,0.004919
411,t_aspect_orb_sun_rahu,0.004906
412,t_d12_moon_deg,0.004867
413,d30_mars_sign,0.004860
414,d12_jupiter_deg,0.004836
415,t_tattva_ketu,0.004827
416,t_dist_venus_ketu,0.004791
417,aspect_orb_jupiter_mars,0.004767
418,lon_saturn,0.004754
419,aspect_orb_moon_mercury,0.004751
420,nak_pos_venus,0.004731
421,aspect_orb_mars_saturn,0.004727
422,d3_saturn_sign,0.004720
423,aspect_orb_saturn_ketu,0.004669
424,sade_sati_active,0.004645
425,tattva_jupiter,0.004633
426,aspect_orb_ketu_mars,0.004615
427,aspect_orb_jupiter_rahu,0.004612
428,dist_mars_mercury,0.004595
429,aspect_orb_mars_jupiter,0.004570
430,aspect_orb_saturn_sun,0.004552
431,house_pos_sun,0.004535
432,t_sav_house_5,0.004523
433,lagna_lon,0.004477
434,nak_pos_moon,0.004463
435,d4_jupiter_sign,0.004463
436,house_from_moon_saturn,0.004457
437,dispositor_moon,0.004446
438,t_d10_saturn_sign,0.004414
439,acc_sun,0.004413
440,aspect_orb_saturn_mercury,0.004412
441,t_d10_rahu_sign,0.004361
442,house_venus,0.004354
443,d3_sun_sign,0.004336
444,d12_moon_sign,0.004295
445,sav_house_1,0.004256
446,t_dist_sun_jupiter,0.004254
447,d9_saturn_sign,0.004252
448,t_drishti_jupiter_mercury,0.004231
449,t_house_pos_sun,0.004231
450,t_lon_moon,0.004217
451,house_from_moon_mercury,0.004205
452,t_d2_mercury_sign,0.004160
453,t_drishti_rahu_moon,0.004155
454,panchanga_yoga,0.004144
455,d30_sun_sign,0.004125
456,d12_sun_deg,0.004100
457,aspect_orb_jupiter_mercury,0.004061
458,vel_jupiter,0.004057
459,vel_venus,0.004051
460,t_lagna_degree_in_sign,0.004023
461,t_d30_venus_sign,0.004018
462,d10_sun_deg,0.003972
463,t_d12_moon_sign,0.003952
464,d10_sun_sign,0.003913
465,dist_jupiter_ketu,0.003912
466,aspect_orb_sun_rahu,0.003909
467,t_aspect_orb_mars_saturn,0.003872
468,aspect_orb_ketu_moon,0.003805
469,house_mars,0.003757
